date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:31	0/-1	---M--	302	error ('Found')	text/html		http://www.coachingsportandmusic.com/dNgZh/CSM/HOME.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.coachingsportandmusic.com/dNgZh/CSM/HOME.27.delayed	(from )
11:32:31	0/-1	---M--	302	error ('')			http://www.coachingsportandmusic.com/CSM/HOME.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.coachingsportandmusic.com/CSM/HOME.28.delayed	(from )
11:32:31	0/-1	---M--	302	error ('')			http://www.coachingsportandmusic.com/dNgZh/CSM/HOME.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.coachingsportandmusic.com/dNgZh/CSM/HOME.29.delayed	(from )
11:32:31	0/-1	---M--	302	error ('')			http://www.coachingsportandmusic.com/CSM/HOME.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.coachingsportandmusic.com/CSM/HOME.2a.delayed	(from )
11:32:31	0/-1	---M--	302	error ('')			http://www.coachingsportandmusic.com/dNgZh/CSM/HOME.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.coachingsportandmusic.com/dNgZh/CSM/HOME.2b.delayed	(from )
11:32:31	0/-1	---M--	302	error ('')			http://www.coachingsportandmusic.com/CSM/HOME.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.coachingsportandmusic.com/CSM/HOME.2c.delayed	(from )
11:32:33	6266/6266	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Mar%202015%2010:32:34%20GMT	http://www.soyez-pro-et-osez.com/index.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.soyez-pro-et-osez.com/index.2e.delayed	(from )
11:32:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	etag:%221425292356%22	http://www.slate.fr/story/8055/serena-williams-quand-les-sportifs-craquent-maj.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.slate.fr/story/8055/serena-williams-quand-les-sportifs-craquent-maj.2f.delayed	(from )
11:32:36	40600/40600	---M--	200	added ('OK')	text/html	etag:W/%221425292356%22	http://www.slate.fr/story/8055/serena-williams-quand-les-sportifs-craquent-maj	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.slate.fr/story/8055/serena-williams-quand-les-sportifs-craquent-maj.html	(from )
11:32:36	643/643	---M-Z	200	added ('OK')	text/plain	date:Mon,%2007%20Jul%202014%2015:16:50%20GMT	http://www.lequipe.fr/robots.txt		(from )
11:32:37	1092/1092	---M-Z	200	added ('OK')	text/plain	date:Tue,%2025%20Nov%202014%2010:29:52%20GMT	http://www.lemonde.fr/robots.txt		(from )
11:32:38	739/739	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Oct%202014%2007:55:58%20GMT	http://www.venere.com/robots.txt		(from )
11:32:38	387/387	---M--	200	added ('OK')	text/plain	etag:%22460e1a-183-50ffecb736340%22	http://www.20minutes.fr/robots.txt		(from )
11:32:38	470/470	---M--	200	added ('OK')	text/plain	etag:%221aa1da3-1d6-50fe6535c35c0%22	http://www.la-croix.com/robots.txt		(from )
11:32:39	55/55	---M--	200	added ('OK')	text/plain	etag:%2214022d0-37-4bb0d6687fe00%22	http://www.dopage.com/robots.txt		(from )
